;end;LAT;LNG
0;AVENIDA NAÇÕES UNIDAS - 8º ANDAR, 7815 - PINHEIROS SAO PAULO-SP;-23.5635787;-46.6916068
1;RUA NORMA PIERUCCINI GIANNOTTI, 327 - BARRA FUNDA SAO PAULO-SP;-23.5233334;-46.6536948
2;Rua Alexandre Dumas, 2200 - Chacara Santo Antonio SAO PAULO-SP;-23.6276441;-46.7107246
3;Avenida Lauro Sodré, 445 - Botafogo RIO DE JANEIRO-RJ;-22.957067;-43.1766477
4;RUA LAURO MULLER - SHOP. RIO SUL, 116 - BOTAFOGO RIO DE JANEIRO-RJ;-22.9569798;-43.1768217
5;AVENIDA DO ESTADO, 5533 - MOOCA SAO PAULO-SP;-23.5578568;-46.6155363
6;RUA LAURO MULLER, 116 - BOTAFOGO RIO DE JANEIRO-RJ;-22.9569798;-43.1768217
7;Rua dos Tupis, 337 - Centro BELO HORIZONTE-MG;-19.9217918;-43.9401273
8;ALAMEDA TOCANTINS, 822 - ALPHAVILLE SAO PAULO-SP;-23.5014631;-46.8557912
9;RUA FERREIRA DE ARAUJO, 741 - PINHEIROS SAO PAULO-SP;-23.5641281;-46.69757
10;AV FRANCISCO MATARAZZO, S/N - AGUA BRANCA SAO PAULO-SP;-23.5271065;-46.6744199
11;Rua Coronel Fernando Ferreira Leite, 1540 - Residencial Florida RIBEIRAO PRETO-SP;-21.2127492;-47.8159431
12;AVENIDA CHEDID JAFET, 222 - VILA OLIMPIA SAO PAULO-SP;-23.5927603;-46.6901899
13;Rua Comendador Araújo, 499 - Centro CURITIBA-PR;-25.4371334;-49.27971429999999
14;RUA PAULO EMIDIO BARBOSA - QD V LT 5, 485 - ILHA DO FUNDÃO RIO DE JANEIRO-RJ;-22.8648722;-43.2154318
15;RUA DOMINGOS DE MORAIS, 2564 - VILA MARIANA SAO PAULO-SP;-23.5990138;-46.6369018
16;AVENIDA UNISINOS, 950 - CRISTO REI SAO LEOPOLDO-RS;-29.7950629;-51.1548587
17;AVENIDA MARACANÃ, 987 - TIJUCA RIO DE JANEIRO-RJ;-22.9217276;-43.2355945
18;RUA VICTOR CIVITA, BL 1 SALA 104, 201 E 301, 77 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9744162;-43.3665392
19;AVENIDA AMERICAS, DAS - Village Mall, 3900 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9984349;-43.3512508
20;AVENIDA DAS AMERICAS, 19019 - RECREIO DOS BANDEIRANTES RIO DE JANEIRO-RJ;-23.0220166;-43.4883664
21;ESTRADA DA PORTELA, 222 - MADUREIRA RIO DE JANEIRO-RJ;-22.8709926;-43.3411903
22;AVENIDA AFRANIO DE MELO FRANCO, 290 - LEBLON RIO DE JANEIRO-RJ;-22.9824428;-43.2169266
23;AVENIDA PASTOR MARTIN LUTHER KING JR, 126 - INHAUMA RIO DE JANEIRO-RJ;-22.8718998;-43.28890730000001
24;RUA EMILIANO PERNETA, 466 - CENTRO CURITIBA-PR;-25.43573;-49.2763018
25;AVENIDA ANTONIO GALOTTI, S/N - JACAREPAGUÁ RIO DE JANEIRO-RJ;-22.9710371;-43.36724539999999
26;AVENIDA PIRACEMA, 669 - TAMBORE BARUERI-SP;-23.5043583;-46.8343506
27;Rua Dona Luiza, 311 - Milionários BELO HORIZONTE-MG;-19.9856661;-44.0064942
28;;42.2780436;-83.7382241
29;AVENIDA IGUACU - Intertechne, 100 - AGUA VERDE CURITIBA-PR;-25.4395007;-49.2629961
